Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1985","t","851034"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1986","ha","117546"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1986","kg/ha","7998"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1986","t","940129"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1987","ha","110851"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1987","kg/ha","6935.9"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1987","t","768850"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1988","ha","114447"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1988","kg/ha","7227.3"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1988","t","827139"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1989","ha","137774"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1989","kg/ha","7597.7"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1989","t","1046770"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1990","ha","140603"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1990","kg/ha","7652.8"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1990","t","1076000"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1991","ha","123243"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1991","kg/ha","7660.8"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1991","t","944146"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1992","ha","126854"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1992","kg/ha","8015.4"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1992","t","1016791"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1993","ha","118000"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1993","kg/ha","8771.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1993","t","1035000"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1994","ha","121600"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1994","kg/ha","8067.4"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1994","t","981000"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1995","ha","135400"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1995","kg/ha","8618.9"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1995","t","1167000"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1996","ha","141600"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1996","kg/ha","8961.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1996","t","1268900"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1997","ha","137500"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1997","kg/ha","7730.9"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1997","t","1063000"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1998","ha","139300"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1998","kg/ha","7695.6"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1998","t","1072000"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","1999","ha","102195"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","1999","kg/ha","8331.1"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","1999","t","851400"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2000","ha","136700"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2000","kg/ha","8359.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2000","t","1142700"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2001","ha","124700"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2001","kg/ha","7944.7"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2001","t","990700"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2002","ha","135215"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2002","kg/ha","7814.5"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2002","t","1056640"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2003","ha","129245"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2003","kg/ha","8743.9"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2003","t","1130100"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2004","ha","137287"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2004","kg/ha","8914.9"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2004","t","1223900"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2005","ha","136700"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2005","kg/ha","8593.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2005","t","1174686"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2006","ha","141100"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2006","kg/ha","8394"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2006","t","1184400"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2007","ha","140000"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2007","kg/ha","7271.4"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2007","t","1018000"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2008","ha","156500"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2008","kg/ha","8729.5"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2008","t","1366162"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2009","ha","150888"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2009","kg/ha","9291.9"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2009","t","1402040"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2010","ha","153723"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2010","kg/ha","8909.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2010","t","1369553"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2011","ha","151041"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2011","kg/ha","7781.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2011","t","1175275"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2012","ha","151625"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2012","kg/ha","8587"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2012","t","1302002"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2013","ha","152737"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2013","kg/ha","8741.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2013","t","1335105"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2014","ha","142212"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2014","kg/ha","9169.8"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2014","t","1304054"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2015","ha","142468"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2015","kg/ha","9125.5"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2015","t","1300085"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2016","ha","127328"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2016","kg/ha","7983.2"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2016","t","1016479"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2017","ha","115923"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2017","kg/ha","9093.5"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2017","t","1054151"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2018","ha","111660"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2018","kg/ha","8614.7"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2018","t","961920"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2019","ha","120550"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2019","kg/ha","9378.1"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2019","t","1130530"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2020","ha","108910"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2020","kg/ha","8556"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2020","t","931830"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2021","ha","118140"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2021","kg/ha","8018"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2021","t","947250"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2022","ha","123800"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2022","kg/ha","9393.1"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2022","t","1162860"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2023","ha","129540"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2023","kg/ha","8467"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2023","t","1096820"
"Crops and livestock products","Netherlands (Kingdom of the)","Area harvested","Wheat","2024","ha","95850"
"Crops and livestock products","Netherlands (Kingdom of the)","Yield","Wheat","2024","kg/ha","6971"
"Crops and livestock products","Netherlands (Kingdom of the)","Production","Wheat","2024","t","668170"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1992","ha","55421"
"Crops and livestock products","North Macedonia","Yield","Barley","1992","kg/ha","2297.9"
"Crops and livestock products","North Macedonia","Production","Barley","1992","t","127350"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1993","ha","56424"
"Crops and livestock products","North Macedonia","Yield","Barley","1993","kg/ha","1833.5"
"Crops and livestock products","North Macedonia","Production","Barley","1993","t","103454"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1994","ha","59697"
"Crops and livestock products","North Macedonia","Yield","Barley","1994","kg/ha","2503"
"Crops and livestock products","North Macedonia","Production","Barley","1994","t","149424"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1995","ha","54874"
"Crops and livestock products","North Macedonia","Yield","Barley","1995","kg/ha","2778.2"
"Crops and livestock products","North Macedonia","Production","Barley","1995","t","152449"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1996","ha","48916"
"Crops and livestock products","North Macedonia","Yield","Barley","1996","kg/ha","1999.2"
"Crops and livestock products","North Macedonia","Production","Barley","1996","t","97792"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1997","ha","50936"
"Crops and livestock products","North Macedonia","Yield","Barley","1997","kg/ha","2354.9"
"Crops and livestock products","North Macedonia","Production","Barley","1997","t","119950"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1998","ha","53541"
"Crops and livestock products","North Macedonia","Yield","Barley","1998","kg/ha","2649.9"
"Crops and livestock products","North Macedonia","Production","Barley","1998","t","141879"
"Crops and livestock products","North Macedonia","Area harvested","Barley","1999","ha","50289"
"Crops and livestock products","North Macedonia","Yield","Barley","1999","kg/ha","2516.9"
"Crops and livestock products","North Macedonia","Production","Barley","1999","t","126574"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2000","ha","49765"
"Crops and livestock products","North Macedonia","Yield","Barley","2000","kg/ha","2213.3"
"Crops and livestock products","North Macedonia","Production","Barley","2000","t","110145"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2001","ha","49000"
"Crops and livestock products","North Macedonia","Yield","Barley","2001","kg/ha","1867.3"
"Crops and livestock products","North Macedonia","Production","Barley","2001","t","91500"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2002","ha","48390"
"Crops and livestock products","North Macedonia","Yield","Barley","2002","kg/ha","2654.1"
"Crops and livestock products","North Macedonia","Production","Barley","2002","t","128430"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2003","ha","46540"
"Crops and livestock products","North Macedonia","Yield","Barley","2003","kg/ha","1788.7"
"Crops and livestock products","North Macedonia","Production","Barley","2003","t","83245"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2004","ha","44802"
"Crops and livestock products","North Macedonia","Yield","Barley","2004","kg/ha","3347.2"
"Crops and livestock products","North Macedonia","Production","Barley","2004","t","149963"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2005","ha","50341"
"Crops and livestock products","North Macedonia","Yield","Barley","2005","kg/ha","2719.3"
"Crops and livestock products","North Macedonia","Production","Barley","2005","t","136891"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2006","ha","47881"
"Crops and livestock products","North Macedonia","Yield","Barley","2006","kg/ha","2820.6"
"Crops and livestock products","North Macedonia","Production","Barley","2006","t","135053"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2007","ha","47767"
"Crops and livestock products","North Macedonia","Yield","Barley","2007","kg/ha","2232.4"
"Crops and livestock products","North Macedonia","Production","Barley","2007","t","106635"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2008","ha","47351"
"Crops and livestock products","North Macedonia","Yield","Barley","2008","kg/ha","3437.7"
"Crops and livestock products","North Macedonia","Production","Barley","2008","t","162779"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2009","ha","48622"
"Crops and livestock products","North Macedonia","Yield","Barley","2009","kg/ha","3010.4"
"Crops and livestock products","North Macedonia","Production","Barley","2009","t","146372"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2010","ha","42802"
"Crops and livestock products","North Macedonia","Yield","Barley","2010","kg/ha","2951.1"
"Crops and livestock products","North Macedonia","Production","Barley","2010","t","126315"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2011","ha","41096"
"Crops and livestock products","North Macedonia","Yield","Barley","2011","kg/ha","3151.4"
"Crops and livestock products","North Macedonia","Production","Barley","2011","t","129509"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2012","ha","41057"
"Crops and livestock products","North Macedonia","Yield","Barley","2012","kg/ha","2201.4"
"Crops and livestock products","North Macedonia","Production","Barley","2012","t","90384"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2013","ha","41944"
"Crops and livestock products","North Macedonia","Yield","Barley","2013","kg/ha","2993.6"
"Crops and livestock products","North Macedonia","Production","Barley","2013","t","125565"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2014","ha","41157"
"Crops and livestock products","North Macedonia","Yield","Barley","2014","kg/ha","3718.8"
"Crops and livestock products","North Macedonia","Production","Barley","2014","t","153055"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2015","ha","41160"
"Crops and livestock products","North Macedonia","Yield","Barley","2015","kg/ha","2470.3"
"Crops and livestock products","North Macedonia","Production","Barley","2015","t","101677"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2016","ha","41297"
"Crops and livestock products","North Macedonia","Yield","Barley","2016","kg/ha","3507.1"
"Crops and livestock products","North Macedonia","Production","Barley","2016","t","144832"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2017","ha","43816"
"Crops and livestock products","North Macedonia","Yield","Barley","2017","kg/ha","2137.7"
"Crops and livestock products","North Macedonia","Production","Barley","2017","t","93666"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2018","ha","42331"
"Crops and livestock products","North Macedonia","Yield","Barley","2018","kg/ha","3071.7"
"Crops and livestock products","North Macedonia","Production","Barley","2018","t","130028"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2019","ha","43941"
"Crops and livestock products","North Macedonia","Yield","Barley","2019","kg/ha","3150.9"
"Crops and livestock products","North Macedonia","Production","Barley","2019","t","138453"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2020","ha","44995"
"Crops and livestock products","North Macedonia","Yield","Barley","2020","kg/ha","3282.8"
"Crops and livestock products","North Macedonia","Production","Barley","2020","t","147711"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2021","ha","47683"
"Crops and livestock products","North Macedonia","Yield","Barley","2021","kg/ha","3175.9"
"Crops and livestock products","North Macedonia","Production","Barley","2021","t","151435"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2022","ha","45429"
"Crops and livestock products","North Macedonia","Yield","Barley","2022","kg/ha","3030.9"
"Crops and livestock products","North Macedonia","Production","Barley","2022","t","137691"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2023","ha","45580"
"Crops and livestock products","North Macedonia","Yield","Barley","2023","kg/ha","3181.6"
"Crops and livestock products","North Macedonia","Production","Barley","2023","t","145019"
"Crops and livestock products","North Macedonia","Area harvested","Barley","2024","ha","44739"
"Crops and livestock products","North Macedonia","Yield","Barley","2024","kg/ha","3244.4"
"Crops and livestock products","North Macedonia","Production","Barley","2024","t","145149"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1992","ha","111961"
"Crops and livestock products","North Macedonia","Yield","Wheat","1992","kg/ha","2675.2"
"Crops and livestock products","North Macedonia","Production","Wheat","1992","t","299522"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1993","ha","116987"
"Crops and livestock products","North Macedonia","Yield","Wheat","1993","kg/ha","2135.2"
"Crops and livestock products","North Macedonia","Production","Wheat","1993","t","249789"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1994","ha","122031"
"Crops and livestock products","North Macedonia","Yield","Wheat","1994","kg/ha","2754.5"
"Crops and livestock products","North Macedonia","Production","Wheat","1994","t","336133"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1995","ha","130092"
"Crops and livestock products","North Macedonia","Yield","Wheat","1995","kg/ha","2930.4"
"Crops and livestock products","North Macedonia","Production","Wheat","1995","t","381226"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1996","ha","117486"
"Crops and livestock products","North Macedonia","Yield","Wheat","1996","kg/ha","2292.2"
"Crops and livestock products","North Macedonia","Production","Wheat","1996","t","269303"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1997","ha","115267"
"Crops and livestock products","North Macedonia","Yield","Wheat","1997","kg/ha","2548.5"
"Crops and livestock products","North Macedonia","Production","Wheat","1997","t","293762"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1998","ha","113647"
"Crops and livestock products","North Macedonia","Yield","Wheat","1998","kg/ha","2961.5"
"Crops and livestock products","North Macedonia","Production","Wheat","1998","t","336562"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","1999","ha","113972"
"Crops and livestock products","North Macedonia","Yield","Wheat","1999","kg/ha","2802.6"
"Crops and livestock products","North Macedonia","Production","Wheat","1999","t","319419"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2000","ha","121103"
"Crops and livestock products","North Macedonia","Yield","Wheat","2000","kg/ha","2471.9"
"Crops and livestock products","North Macedonia","Production","Wheat","2000","t","299356"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2001","ha","115504"
"Crops and livestock products","North Macedonia","Yield","Wheat","2001","kg/ha","2129.8"
"Crops and livestock products","North Macedonia","Production","Wheat","2001","t","246000"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2002","ha","100920"
"Crops and livestock products","North Macedonia","Yield","Wheat","2002","kg/ha","2647.3"
"Crops and livestock products","North Macedonia","Production","Wheat","2002","t","267170"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2003","ha","103620"
"Crops and livestock products","North Macedonia","Yield","Wheat","2003","kg/ha","2176.1"
"Crops and livestock products","North Macedonia","Production","Wheat","2003","t","225490"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2004","ha","101321"
"Crops and livestock products","North Macedonia","Yield","Wheat","2004","kg/ha","3521.7"
"Crops and livestock products","North Macedonia","Production","Wheat","2004","t","356825"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2005","ha","108367"
"Crops and livestock products","North Macedonia","Yield","Wheat","2005","kg/ha","3081.1"
"Crops and livestock products","North Macedonia","Production","Wheat","2005","t","333888"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2006","ha","97458"
"Crops and livestock products","North Macedonia","Yield","Wheat","2006","kg/ha","3009.8"
"Crops and livestock products","North Macedonia","Production","Wheat","2006","t","293326"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2007","ha","90800"
"Crops and livestock products","North Macedonia","Yield","Wheat","2007","kg/ha","2402"
"Crops and livestock products","North Macedonia","Production","Wheat","2007","t","218100"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2008","ha","85545"
"Crops and livestock products","North Macedonia","Yield","Wheat","2008","kg/ha","3410.1"
"Crops and livestock products","North Macedonia","Production","Wheat","2008","t","291719"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2009","ha","88151"
"Crops and livestock products","North Macedonia","Yield","Wheat","2009","kg/ha","3075.6"
"Crops and livestock products","North Macedonia","Production","Wheat","2009","t","271117"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2010","ha","79865"
"Crops and livestock products","North Macedonia","Yield","Wheat","2010","kg/ha","3044.3"
"Crops and livestock products","North Macedonia","Production","Wheat","2010","t","243137"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2011","ha","76545"
"Crops and livestock products","North Macedonia","Yield","Wheat","2011","kg/ha","3345.8"
"Crops and livestock products","North Macedonia","Production","Wheat","2011","t","256103"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2012","ha","79745"
"Crops and livestock products","North Macedonia","Yield","Wheat","2012","kg/ha","2695.6"
"Crops and livestock products","North Macedonia","Production","Wheat","2012","t","214963"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2013","ha","80980"
"Crops and livestock products","North Macedonia","Yield","Wheat","2013","kg/ha","3197.8"
"Crops and livestock products","North Macedonia","Production","Wheat","2013","t","258960"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2014","ha","76686"
"Crops and livestock products","North Macedonia","Yield","Wheat","2014","kg/ha","3755"
"Crops and livestock products","North Macedonia","Production","Wheat","2014","t","287954"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2015","ha","73060"
"Crops and livestock products","North Macedonia","Yield","Wheat","2015","kg/ha","2754.1"
"Crops and livestock products","North Macedonia","Production","Wheat","2015","t","201218"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2016","ha","79832"
"Crops and livestock products","North Macedonia","Yield","Wheat","2016","kg/ha","3838.5"
"Crops and livestock products","North Macedonia","Production","Wheat","2016","t","306433"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2017","ha","72864"
"Crops and livestock products","North Macedonia","Yield","Wheat","2017","kg/ha","2746.4"
"Crops and livestock products","North Macedonia","Production","Wheat","2017","t","200112"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2018","ha","70987"
"Crops and livestock products","North Macedonia","Yield","Wheat","2018","kg/ha","3396.5"
"Crops and livestock products","North Macedonia","Production","Wheat","2018","t","241106"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2019","ha","68847"
"Crops and livestock products","North Macedonia","Yield","Wheat","2019","kg/ha","3484.8"
"Crops and livestock products","North Macedonia","Production","Wheat","2019","t","239916"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2020","ha","69765"
"Crops and livestock products","North Macedonia","Yield","Wheat","2020","kg/ha","3526.6"
"Crops and livestock products","North Macedonia","Production","Wheat","2020","t","246031"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2021","ha","70366"
"Crops and livestock products","North Macedonia","Yield","Wheat","2021","kg/ha","3463"
"Crops and livestock products","North Macedonia","Production","Wheat","2021","t","243676"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2022","ha","70107"
"Crops and livestock products","North Macedonia","Yield","Wheat","2022","kg/ha","3204.1"
"Crops and livestock products","North Macedonia","Production","Wheat","2022","t","224632"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2023","ha","69522"
"Crops and livestock products","North Macedonia","Yield","Wheat","2023","kg/ha","3094.9"
"Crops and livestock products","North Macedonia","Production","Wheat","2023","t","215165"
"Crops and livestock products","North Macedonia","Area harvested","Wheat","2024","ha","67226"
"Crops and livestock products","North Macedonia","Yield","Wheat","2024","kg/ha","3411"
"Crops and livestock products","North Macedonia","Production","Wheat","2024","t","229309"
"Crops and livestock products","Norway","Area harvested","Barley","1961","ha","153600"
"Crops and livestock products","Norway","Yield","Barley","1961","kg/ha","2784.5"
"Crops and livestock products","Norway","Production","Barley","1961","t","427700"
"Crops and livestock products","Norway","Area harvested","Barley","1962","ha","164059"
"Crops and livestock products","Norway","Yield","Barley","1962","kg/ha","2088.9"
"Crops and livestock products","Norway","Production","Barley","1962","t","342700"
"Crops and livestock products","Norway","Area harvested","Barley","1963","ha","179300"
"Crops and livestock products","Norway","Yield","Barley","1963","kg/ha","2582.3"
"Crops and livestock products","Norway","Production","Barley","1963","t","463000"
"Crops and livestock products","Norway","Area harvested","Barley","1964","ha","181726"
"Crops and livestock products","Norway","Yield","Barley","1964","kg/ha","2641.3"
"Crops and livestock products","Norway","Production","Barley","1964","t","480000"
"Crops and livestock products","Norway","Area harvested","Barley","1965","ha","188998"
"Crops and livestock products","Norway","Yield","Barley","1965","kg/ha","2565.6"
"Crops and livestock products","Norway","Production","Barley","1965","t","484900"
"Crops and livestock products","Norway","Area harvested","Barley","1966","ha","187900"
"Crops and livestock products","Norway","Yield","Barley","1966","kg/ha","2156"
"Crops and livestock products","Norway","Production","Barley","1966","t","405104"
"Crops and livestock products","Norway","Area harvested","Barley","1967","ha","178600"
"Crops and livestock products","Norway","Yield","Barley","1967","kg/ha","2718.1"
"Crops and livestock products","Norway","Production","Barley","1967","t","485459"
"Crops and livestock products","Norway","Area harvested","Barley","1968","ha","175900"
"Crops and livestock products","Norway","Yield","Barley","1968","kg/ha","3531.9"
"Crops and livestock products","Norway","Production","Barley","1968","t","621255"
"Crops and livestock products","Norway","Area harvested","Barley","1969","ha","184697"
"Crops and livestock products","Norway","Yield","Barley","1969","kg/ha","2629.2"
"Crops and livestock products","Norway","Production","Barley","1969","t","485614"
"Crops and livestock products","Norway","Area harvested","Barley","1970","ha","184036"
"Crops and livestock products","Norway","Yield","Barley","1970","kg/ha","3154.1"
"Crops and livestock products","Norway","Production","Barley","1970","t","580475"
"Crops and livestock products","Norway","Area harvested","Barley","1971","ha","178921"
"Crops and livestock products","Norway","Yield","Barley","1971","kg/ha","3179.5"
"Crops and livestock products","Norway","Production","Barley","1971","t","568877"
"Crops and livestock products","Norway","Area harvested","Barley","1972","ha","180700"
"Crops and livestock products","Norway","Yield","Barley","1972","kg/ha","2886.3"
"Crops and livestock products","Norway","Production","Barley","1972","t","521547"
